budget	degree	candidate_p	factor
549755813888	2	13677434320016257897725951	3
549755813888	2	13677434320016257897725953	37
549755813888	2	13677434320017357409353727	17
549755813888	2	13677434320017357409353729	3
549755813888	2	13677434320018456920981503	7
549755813888	2	13677434320018456920981505	5
549755813888	2	13677434320019556432609279	3
549755813888	2	13677434320019556432609281	41
549755813888	2	13677434320020655944237055	5
549755813888	2	13677434320020655944237057	3
549755813888	2	13677434320021755455864831	41
549755813888	2	13677434320021755455864833	229
549755813888	2	13677434320022854967492607	3
549755813888	2	13677434320022854967492609	12528653
549755813888	2	13677434320023954479120383	107
549755813888	2	13677434320023954479120385	3
549755813888	2	13677434320025053990748159	59
549755813888	2	13677434320025053990748161	7
549755813888	2	13677434320026153502375935	3
549755813888	2	13677434320026153502375937	19
549755813888	2	13677434320027253014003711	4046264393
549755813888	2	13677434320027253014003713	3
549755813888	2	13677434320028352525631487	6271
549755813888	2	13677434320028352525631489	661
549755813889	2	13677434320029452037259263	3
549755813889	2	13677434320029452037259265	5
549755813889	2	13677434320030551548887039	73
549755813889	2	13677434320030551548887041	3
549755813889	2	13677434320031651060514815	5
549755813889	2	13677434320031651060514817	5407
549755813889	2	13677434320032750572142591	3
549755813889	2	13677434320032750572142593	7
549755813889	2	13677434320033850083770367	7
549755813889	2	13677434320033850083770369	3
549755813889	2	13677434320034949595398143	67
549755813889	2	13677434320034949595398145	5
549755813889	2	13677434320036049107025919	3
549755813889	2	13677434320036049107025921	11
549755813889	2	13677434320037148618653695	5
549755813889	2	13677434320037148618653697	3
549755813889	2	13677434320038248130281471	11
549755813889	2	13677434320038248130281473	107
549755813889	2	13677434320039347641909247	3
549755813889	2	13677434320039347641909249	146941
549755813889	2	13677434320040447153537023	23
549755813889	2	13677434320040447153537025	3
